S. No,Name,Date Of Birth,PAN,Aadhar,Salary Earned,Allowance,Self or Family,Bank name,Account number,Type of Bank
1,User 1 ,22-07-1999,ABCOS1234J,1111 1111 1111,25000,1800,Self,ABCD,8430500021,PUBLIC
2,User 2,10-08-2000,ABCOS1234J,1111 1111 1112,30000,2000,Family,EFGH,8430500021,Public
3,User 3,10-08-1999,ABCOS1234J,1111 1111 1113,35000,2200,SELF,KLMN,8430500021,PrivatE
4,User 4,22-07-2000,ABCOS1234J,1111 1111 1114,40000,2400,Self,OPQR,8430500021,   PUblic
5,User 5,22-07-1999,ABCOS1234J,1111 1111 1115,45000,2600,self,ABCD,8430500021,Public
6,User 6,10-08-2000,ABCOS1234J,1111 1111 1116,50000,2800,selF,EFGH,8430500021,Public
7,User 7,10-08-1999,ABCOS1234J,1111 1111 1117,55000,3000,Self,KLMN,8430500021,  private
8,User 8,22-07-2000,ABCOS1234J,1111 1111 1118,60000,3200,FAMILY   ,OPQR,8430500021,Public
9,User 9,22-07-1999,ABCOS1234J,1111 1111 1119,65000,3400,Self,ABCD,8430500021,Public
10,User 10,10-08-2000,ABCOS1234J,1111 1111 1120,70000,3600,Self,EFGH,8430500021,Public
11,User 11,10-08-1999,ABCOS1234J,1111 1111 1121,75000,3800,   FaMily,KLMN,8430500021,Private
12,User 12,22-07-2000,ABCOS1234J,1111 1111 1122,80000,4000,Self,OPQR,8430500021,Public
13,User 13,22-07-1999,ABCOS1234J,1111 1111 1123,85000,4200,Self,ABCD,8430500021,Public
14,User 14,10-08-2000,ABCOS1234J,1111 1111 1124,90000,4400,Self,EFGH,8430500021,Public
15,User 15,10-08-1999,ABCOS1234J,1111 1111 1125,95000,4600,Self,KLMN,8430500021,Private
16,User 16,22-07-2000,ABCOS1234J,1111 1111 1126,100000,4800,Self,OPQR,8430500021,Public
17,User 17,22-07-1999,ABCOS1234J,1111 1111 1127,105000,5000,Self,ABCD,8430500021,Public
18,User 18,10-08-2000,ABCOS1234J,1111 1111 1128,110000,5200,Self,EFGH,8430500021,Public
19,User 19,10-08-1999,ABCOS1234J,1111 1111 1129,115000,5400,Self,KLMN,8430500021,Private
20,User 20,22-07-2000,ABCOS1234J,1111 1111 1130,120000,5600,Self,OPQR,8430500021,Public
